ward,precinct,total,Roberto Maldonado,Roberto Maldonado Percent,precinct_id
1,1,214,214,100.0,01001
1,6,109,109,100.0,01006
1,7,201,201,100.0,01007
1,9,216,216,100.0,01009
1,13,256,256,100.0,01013
1,15,185,185,100.0,01015
1,16,91,91,100.0,01016
1,18,164,164,100.0,01018
1,19,191,191,100.0,01019
1,20,235,235,100.0,01020
1,22,199,199,100.0,01022
1,23,197,197,100.0,01023
1,24,286,286,100.0,01024
1,27,138,138,100.0,01027
1,28,150,150,100.0,01028
1,29,198,198,100.0,01029
1,30,307,307,100.0,01030
1,32,68,68,100.0,01032
1,33,218,218,100.0,01033
1,34,137,137,100.0,01034
1,38,128,128,100.0,01038
1,39,245,245,100.0,01039
1,40,95,95,100.0,01040
1,41,163,163,100.0,01041
1,42,139,139,100.0,01042
1,43,154,154,100.0,01043
1,44,50,50,100.0,01044
1,45,211,211,100.0,01045
26,1,124,124,100.0,26001
26,2,140,140,100.0,26002
26,3,138,138,100.0,26003
26,4,110,110,100.0,26004
26,5,185,185,100.0,26005
26,6,120,120,100.0,26006
26,7,90,90,100.0,26007
26,8,118,118,100.0,26008
26,9,104,104,100.0,26009
26,10,105,105,100.0,26010
26,11,138,138,100.0,26011
26,12,93,93,100.0,26012
26,13,146,146,100.0,26013
26,14,129,129,100.0,26014
26,15,131,131,100.0,26015
26,16,102,102,100.0,26016
26,17,104,104,100.0,26017
26,18,93,93,100.0,26018
26,19,187,187,100.0,26019
26,20,166,166,100.0,26020
26,21,164,164,100.0,26021
26,22,96,96,100.0,26022
26,23,122,122,100.0,26023
26,24,90,90,100.0,26024
26,25,60,60,100.0,26025
26,26,98,98,100.0,26026
26,27,133,133,100.0,26027
26,28,123,123,100.0,26028
26,29,138,138,100.0,26029
26,30,115,115,100.0,26030
26,31,123,123,100.0,26031
26,32,167,167,100.0,26032
26,33,67,67,100.0,26033
26,34,139,139,100.0,26034
26,35,142,142,100.0,26035
26,36,128,128,100.0,26036
26,37,82,82,100.0,26037
26,38,108,108,100.0,26038
26,39,104,104,100.0,26039
26,40,75,75,100.0,26040
26,41,134,134,100.0,26041
26,42,98,98,100.0,26042
26,43,107,107,100.0,26043
26,44,83,83,100.0,26044
26,45,150,150,100.0,26045
26,46,119,119,100.0,26046
26,47,83,83,100.0,26047
26,48,163,163,100.0,26048
26,49,109,109,100.0,26049
26,50,69,69,100.0,26050
26,51,154,154,100.0,26051
26,52,45,45,100.0,26052
26,53,81,81,100.0,26053
26,54,108,108,100.0,26054
26,55,93,93,100.0,26055
26,56,124,124,100.0,26056
26,57,108,108,100.0,26057
26,58,106,106,100.0,26058
26,59,164,164,100.0,26059
26,60,116,116,100.0,26060
26,61,59,59,100.0,26061
26,62,162,162,100.0,26062
26,63,61,61,100.0,26063
27,4,50,50,100.0,27004
27,13,175,175,100.0,27013
27,15,0,0,0.0,27015
27,18,0,0,0.0,27018
27,27,5,5,100.0,27027
27,32,176,176,100.0,27032
27,35,189,189,100.0,27035
27,36,1,1,100.0,27036
27,38,146,146,100.0,27038
27,59,204,204,100.0,27059
29,2,194,194,100.0,29002
29,6,130,130,100.0,29006
29,7,155,155,100.0,29007
29,24,180,180,100.0,29024
29,30,145,145,100.0,29030
29,39,159,159,100.0,29039
29,52,119,119,100.0,29052
30,3,235,235,100.0,30003
30,4,163,163,100.0,30004
30,5,115,115,100.0,30005
30,6,122,122,100.0,30006
30,8,200,200,100.0,30008
30,10,21,21,100.0,30010
30,12,141,141,100.0,30012
30,15,170,170,100.0,30015
30,16,180,180,100.0,30016
30,17,115,115,100.0,30017
30,18,126,126,100.0,30018
30,19,105,105,100.0,30019
30,20,157,157,100.0,30020
30,21,173,173,100.0,30021
30,22,170,170,100.0,30022
30,23,145,145,100.0,30023
30,24,153,153,100.0,30024
30,25,98,98,100.0,30025
30,26,122,122,100.0,30026
30,27,222,222,100.0,30027
30,29,96,96,100.0,30029
30,31,120,120,100.0,30031
30,32,68,68,100.0,30032
30,33,182,182,100.0,30033
30,36,141,141,100.0,30036
30,41,165,165,100.0,30041
31,1,82,82,100.0,31001
31,2,106,106,100.0,31002
31,4,125,125,100.0,31004
31,5,158,158,100.0,31005
31,6,152,152,100.0,31006
31,7,138,138,100.0,31007
31,10,93,93,100.0,31010
31,11,105,105,100.0,31011
31,12,133,133,100.0,31012
