ward,precinct,total,Orville E. Hambright,Orville E. Hambright Percent,precinct_id
5,12,173,173,100.0,05012
5,50,65,65,100.0,05050
6,1,279,279,100.0,06001
6,2,297,297,100.0,06002
6,3,286,286,100.0,06003
6,4,155,155,100.0,06004
6,5,148,148,100.0,06005
6,6,209,209,100.0,06006
6,8,288,288,100.0,06008
6,9,264,264,100.0,06009
6,10,351,351,100.0,06010
6,11,232,232,100.0,06011
6,12,217,217,100.0,06012
6,13,226,226,100.0,06013
6,14,257,257,100.0,06014
6,16,289,289,100.0,06016
6,17,297,297,100.0,06017
6,19,294,294,100.0,06019
6,21,238,238,100.0,06021
6,22,246,246,100.0,06022
6,23,216,216,100.0,06023
6,24,256,256,100.0,06024
6,25,186,186,100.0,06025
6,26,282,282,100.0,06026
6,27,338,338,100.0,06027
6,28,417,417,100.0,06028
6,29,285,285,100.0,06029
6,31,283,283,100.0,06031
6,34,225,225,100.0,06034
6,35,243,243,100.0,06035
6,36,138,138,100.0,06036
6,37,298,298,100.0,06037
6,38,271,271,100.0,06038
6,39,147,147,100.0,06039
6,40,152,152,100.0,06040
6,41,277,277,100.0,06041
6,42,143,143,100.0,06042
6,43,278,278,100.0,06043
6,44,254,254,100.0,06044
6,45,189,189,100.0,06045
6,46,224,224,100.0,06046
6,47,305,305,100.0,06047
6,49,250,250,100.0,06049
6,50,265,265,100.0,06050
6,51,178,178,100.0,06051
6,52,181,181,100.0,06052
6,53,218,218,100.0,06053
6,54,234,234,100.0,06054
6,55,235,235,100.0,06055
6,56,199,199,100.0,06056
6,57,158,158,100.0,06057
6,58,286,286,100.0,06058
6,59,250,250,100.0,06059
6,60,177,177,100.0,06060
6,63,224,224,100.0,06063
6,64,292,292,100.0,06064
7,1,256,256,100.0,07001
7,2,290,290,100.0,07002
7,3,149,149,100.0,07003
7,4,193,193,100.0,07004
7,5,205,205,100.0,07005
7,6,202,202,100.0,07006
7,7,151,151,100.0,07007
7,8,97,97,100.0,07008
7,10,150,150,100.0,07010
7,12,173,173,100.0,07012
7,13,150,150,100.0,07013
7,14,234,234,100.0,07014
7,15,136,136,100.0,07015
7,16,166,166,100.0,07016
7,17,136,136,100.0,07017
7,18,153,153,100.0,07018
7,19,309,309,100.0,07019
7,20,120,120,100.0,07020
7,21,216,216,100.0,07021
7,22,167,167,100.0,07022
7,23,139,139,100.0,07023
7,24,207,207,100.0,07024
7,25,270,270,100.0,07025
7,26,284,284,100.0,07026
7,27,320,320,100.0,07027
7,28,217,217,100.0,07028
7,29,140,140,100.0,07029
7,30,255,255,100.0,07030
7,31,220,220,100.0,07031
7,32,203,203,100.0,07032
7,33,183,183,100.0,07033
7,34,204,204,100.0,07034
7,36,272,272,100.0,07036
7,37,102,102,100.0,07037
7,38,174,174,100.0,07038
