ward,precinct,total,Carl Anthony Walker,Carl Anthony Walker Percent,precinct_id
5,12,180,180,100.0,05012
5,50,70,70,100.0,05050
6,1,285,285,100.0,06001
6,2,302,302,100.0,06002
6,3,288,288,100.0,06003
6,4,161,161,100.0,06004
6,5,154,154,100.0,06005
6,6,219,219,100.0,06006
6,8,296,296,100.0,06008
6,9,267,267,100.0,06009
6,10,355,355,100.0,06010
6,11,234,234,100.0,06011
6,12,221,221,100.0,06012
6,13,233,233,100.0,06013
6,14,263,263,100.0,06014
6,16,298,298,100.0,06016
6,17,304,304,100.0,06017
6,19,300,300,100.0,06019
6,21,240,240,100.0,06021
6,22,248,248,100.0,06022
6,23,217,217,100.0,06023
6,24,269,269,100.0,06024
6,25,194,194,100.0,06025
6,26,281,281,100.0,06026
6,27,344,344,100.0,06027
6,28,441,441,100.0,06028
6,29,290,290,100.0,06029
6,31,293,293,100.0,06031
6,34,234,234,100.0,06034
6,35,240,240,100.0,06035
6,36,143,143,100.0,06036
6,37,298,298,100.0,06037
6,38,276,276,100.0,06038
6,39,154,154,100.0,06039
6,40,156,156,100.0,06040
6,41,275,275,100.0,06041
6,42,148,148,100.0,06042
6,43,302,302,100.0,06043
6,44,255,255,100.0,06044
6,45,196,196,100.0,06045
6,46,233,233,100.0,06046
6,47,313,313,100.0,06047
6,49,253,253,100.0,06049
6,50,272,272,100.0,06050
6,51,187,187,100.0,06051
6,52,184,184,100.0,06052
6,53,225,225,100.0,06053
6,54,234,234,100.0,06054
6,55,243,243,100.0,06055
6,56,202,202,100.0,06056
6,57,167,167,100.0,06057
6,58,285,285,100.0,06058
6,59,250,250,100.0,06059
6,60,178,178,100.0,06060
6,63,231,231,100.0,06063
6,64,301,301,100.0,06064
7,1,267,267,100.0,07001
7,2,295,295,100.0,07002
7,3,150,150,100.0,07003
7,4,194,194,100.0,07004
7,5,203,203,100.0,07005
7,6,208,208,100.0,07006
7,7,154,154,100.0,07007
7,8,96,96,100.0,07008
7,10,157,157,100.0,07010
7,12,172,172,100.0,07012
7,13,154,154,100.0,07013
7,14,238,238,100.0,07014
7,15,134,134,100.0,07015
7,16,167,167,100.0,07016
7,17,142,142,100.0,07017
7,18,161,161,100.0,07018
7,19,315,315,100.0,07019
7,20,122,122,100.0,07020
7,21,226,226,100.0,07021
7,22,169,169,100.0,07022
7,23,144,144,100.0,07023
7,24,218,218,100.0,07024
7,25,280,280,100.0,07025
7,26,295,295,100.0,07026
7,27,324,324,100.0,07027
7,28,226,226,100.0,07028
7,29,142,142,100.0,07029
7,30,259,259,100.0,07030
7,31,221,221,100.0,07031
7,32,203,203,100.0,07032
7,33,187,187,100.0,07033
7,34,206,206,100.0,07034
7,36,273,273,100.0,07036
7,37,101,101,100.0,07037
7,38,180,180,100.0,07038
7,39,194,194,100.0,07039
7,41,169,169,100.0,07041
7,42,346,346,100.0,07042
7,43,235,235,100.0,07043
7,46,92,92,100.0,07046
7,47,203,203,100.0,07047
7,48,101,101,100.0,07048
7,49,129,129,100.0,07049
7,51,190,190,100.0,07051
7,52,197,197,100.0,07052
7,53,208,208,100.0,07053
7,54,106,106,100.0,07054
7,55,190,190,100.0,07055
7,56,193,193,100.0,07056
7,57,165,165,100.0,07057
7,58,305,305,100.0,07058
7,59,138,138,100.0,07059
7,60,154,154,100.0,07060
7,61,210,210,100.0,07061
7,62,203,203,100.0,07062
7,63,204,204,100.0,07063
7,65,231,231,100.0,07065
8,1,282,282,100.0,08001
8,2,149,149,100.0,08002
8,3,318,318,100.0,08003
8,4,251,251,100.0,08004
8,5,301,301,100.0,08005
8,6,279,279,100.0,08006
8,7,200,200,100.0,08007
8,8,285,285,100.0,08008
8,9,298,298,100.0,08009
8,10,334,334,100.0,08010
8,11,235,235,100.0,08011
8,12,229,229,100.0,08012
8,13,205,205,100.0,08013
8,14,197,197,100.0,08014
8,15,215,215,100.0,08015
8,16,277,277,100.0,08016
8,17,239,239,100.0,08017
8,18,162,162,100.0,08018
8,19,314,314,100.0,08019
8,20,195,195,100.0,08020
8,21,196,196,100.0,08021
8,22,217,217,100.0,08022
8,23,231,231,100.0,08023
8,24,279,279,100.0,08024
8,25,252,252,100.0,08025
8,26,160,160,100.0,08026
8,27,288,288,100.0,08027
8,28,211,211,100.0,08028
8,29,272,272,100.0,08029
8,30,213,213,100.0,08030
8,31,194,194,100.0,08031
8,32,359,359,100.0,08032
8,33,233,233,100.0,08033
8,34,336,336,100.0,08034
8,35,303,303,100.0,08035
8,36,246,246,100.0,08036
8,37,265,265,100.0,08037
8,38,239,239,100.0,08038
8,39,282,282,100.0,08039
8,40,246,246,100.0,08040
8,41,209,209,100.0,08041
8,42,262,262,100.0,08042
8,43,201,201,100.0,08043
8,44,196,196,100.0,08044
8,45,198,198,100.0,08045
8,46,213,213,100.0,08046
8,47,255,255,100.0,08047
8,48,202,202,100.0,08048
8,49,297,297,100.0,08049
8,50,266,266,100.0,08050
8,51,304,304,100.0,08051
8,52,263,263,100.0,08052
8,53,294,294,100.0,08053
8,54,267,267,100.0,08054
8,55,229,229,100.0,08055
8,56,273,273,100.0,08056
8,58,260,260,100.0,08058
8,59,162,162,100.0,08059
8,60,203,203,100.0,08060
8,61,220,220,100.0,08061
8,62,205,205,100.0,08062
8,63,294,294,100.0,08063
8,64,228,228,100.0,08064
8,65,175,175,100.0,08065
8,66,384,384,100.0,08066
8,67,130,130,100.0,08067
8,68,158,158,100.0,08068
8,69,16,16,100.0,08069
9,13,253,253,100.0,09013
9,35,296,296,100.0,09035
9,36,292,292,100.0,09036
9,47,301,301,100.0,09047
9,52,288,288,100.0,09052
10,1,155,155,100.0,10001
10,2,131,131,100.0,10002
10,3,197,197,100.0,10003
10,4,157,157,100.0,10004
10,5,152,152,100.0,10005
10,6,209,209,100.0,10006
10,7,54,54,100.0,10007
10,8,151,151,100.0,10008
10,9,171,171,100.0,10009
10,10,173,173,100.0,10010
10,11,179,179,100.0,10011
10,12,153,153,100.0,10012
10,13,144,144,100.0,10013
10,14,171,171,100.0,10014
10,15,76,76,100.0,10015
10,16,173,173,100.0,10016
10,17,123,123,100.0,10017
10,18,179,179,100.0,10018
10,19,190,190,100.0,10019
10,20,142,142,100.0,10020
10,21,131,131,100.0,10021
10,22,34,34,100.0,10022
10,23,159,159,100.0,10023
10,24,148,148,100.0,10024
10,25,233,233,100.0,10025
10,26,157,157,100.0,10026
10,27,211,211,100.0,10027
10,28,134,134,100.0,10028
10,29,187,187,100.0,10029
10,30,201,201,100.0,10030
10,31,185,185,100.0,10031
10,32,178,178,100.0,10032
10,33,161,161,100.0,10033
10,34,170,170,100.0,10034
10,35,174,174,100.0,10035
10,36,211,211,100.0,10036
10,37,172,172,100.0,10037
10,38,190,190,100.0,10038
10,39,163,163,100.0,10039
10,40,133,133,100.0,10040
10,41,213,213,100.0,10041
10,42,163,163,100.0,10042
10,43,93,93,100.0,10043
10,44,168,168,100.0,10044
10,45,109,109,100.0,10045
10,46,191,191,100.0,10046
10,47,139,139,100.0,10047
10,48,166,166,100.0,10048
10,49,153,153,100.0,10049
17,2,167,167,100.0,17002
17,3,146,146,100.0,17003
17,4,287,287,100.0,17004
17,5,175,175,100.0,17005
17,7,222,222,100.0,17007
17,9,140,140,100.0,17009
17,10,188,188,100.0,17010
17,12,233,233,100.0,17012
17,15,183,183,100.0,17015
17,18,227,227,100.0,17018
17,20,190,190,100.0,17020
17,21,276,276,100.0,17021
17,22,212,212,100.0,17022
17,23,160,160,100.0,17023
17,24,193,193,100.0,17024
17,25,123,123,100.0,17025
17,26,262,262,100.0,17026
17,27,261,261,100.0,17027
17,28,173,173,100.0,17028
17,29,217,217,100.0,17029
17,30,216,216,100.0,17030
17,31,207,207,100.0,17031
17,33,167,167,100.0,17033
17,35,119,119,100.0,17035
17,37,202,202,100.0,17037
17,38,183,183,100.0,17038
17,44,154,154,100.0,17044
17,47,109,109,100.0,17047
17,48,210,210,100.0,17048
17,50,181,181,100.0,17050
17,51,222,222,100.0,17051
17,52,236,236,100.0,17052
17,53,182,182,100.0,17053
17,54,225,225,100.0,17054
17,55,179,179,100.0,17055
18,20,256,256,100.0,18020
18,30,214,214,100.0,18030
18,38,292,292,100.0,18038
18,51,331,331,100.0,18051
18,52,283,283,100.0,18052
18,53,184,184,100.0,18053
18,60,314,314,100.0,18060
18,61,229,229,100.0,18061
21,2,246,246,100.0,21002
21,15,223,223,100.0,21015
21,16,237,237,100.0,21016
21,29,118,118,100.0,21029
21,32,223,223,100.0,21032
