ward,precinct,total,Joseph Berrios,Joseph Berrios Percent,precinct_id
1,1,210,210,100.0,01001
1,2,180,180,100.0,01002
1,3,172,172,100.0,01003
1,4,205,205,100.0,01004
1,5,200,200,100.0,01005
1,6,185,185,100.0,01006
1,7,200,200,100.0,01007
1,8,197,197,100.0,01008
1,9,211,211,100.0,01009
1,10,220,220,100.0,01010
1,11,181,181,100.0,01011
1,12,201,201,100.0,01012
1,13,249,249,100.0,01013
1,14,221,221,100.0,01014
1,15,175,175,100.0,01015
1,16,83,83,100.0,01016
1,17,191,191,100.0,01017
1,18,163,163,100.0,01018
1,19,192,192,100.0,01019
1,20,217,217,100.0,01020
1,21,172,172,100.0,01021
1,22,189,189,100.0,01022
1,23,195,195,100.0,01023
1,24,278,278,100.0,01024
1,25,176,176,100.0,01025
1,26,169,169,100.0,01026
1,27,133,133,100.0,01027
1,28,148,148,100.0,01028
1,29,192,192,100.0,01029
1,30,302,302,100.0,01030
1,31,229,229,100.0,01031
1,32,204,204,100.0,01032
1,33,207,207,100.0,01033
1,34,135,135,100.0,01034
1,35,136,136,100.0,01035
1,36,170,170,100.0,01036
1,37,159,159,100.0,01037
1,38,121,121,100.0,01038
1,39,233,233,100.0,01039
1,40,90,90,100.0,01040
1,41,157,157,100.0,01041
1,42,137,137,100.0,01042
1,43,149,149,100.0,01043
1,44,167,167,100.0,01044
1,45,199,199,100.0,01045
1,46,198,198,100.0,01046
1,47,143,143,100.0,01047
1,48,106,106,100.0,01048
1,49,109,109,100.0,01049
1,50,126,126,100.0,01050
2,1,332,332,100.0,02001
2,2,7,7,100.0,02002
2,8,287,287,100.0,02008
2,11,119,119,100.0,02011
2,22,373,373,100.0,02022
2,28,133,133,100.0,02028
2,32,114,114,100.0,02032
2,35,94,94,100.0,02035
2,37,309,309,100.0,02037
2,40,283,283,100.0,02040
2,43,338,338,100.0,02043
2,49,239,239,100.0,02049
2,50,168,168,100.0,02050
2,54,314,314,100.0,02054
2,55,69,69,100.0,02055
2,58,137,137,100.0,02058
2,59,229,229,100.0,02059
2,60,173,173,100.0,02060
3,3,215,215,100.0,03003
3,13,165,165,100.0,03013
3,29,175,175,100.0,03029
3,51,35,35,100.0,03051
3,54,398,398,100.0,03054
11,1,226,226,100.0,11001
11,2,177,177,100.0,11002
11,3,163,163,100.0,11003
11,4,218,218,100.0,11004
11,5,142,142,100.0,11005
11,6,273,273,100.0,11006
11,7,179,179,100.0,11007
11,8,210,210,100.0,11008
11,9,146,146,100.0,11009
11,10,139,139,100.0,11010
11,11,283,283,100.0,11011
11,12,181,181,100.0,11012
11,13,161,161,100.0,11013
11,14,161,161,100.0,11014
11,15,166,166,100.0,11015
11,16,221,221,100.0,11016
11,17,274,274,100.0,11017
11,18,162,162,100.0,11018
11,19,199,199,100.0,11019
11,20,148,148,100.0,11020
11,21,227,227,100.0,11021
11,22,163,163,100.0,11022
11,23,174,174,100.0,11023
11,24,355,355,100.0,11024
11,25,171,171,100.0,11025
11,26,302,302,100.0,11026
11,27,199,199,100.0,11027
11,28,184,184,100.0,11028
11,29,262,262,100.0,11029
11,30,215,215,100.0,11030
11,31,150,150,100.0,11031
11,32,146,146,100.0,11032
11,33,149,149,100.0,11033
11,34,123,123,100.0,11034
11,35,264,264,100.0,11035
11,36,55,55,100.0,11036
11,37,250,250,100.0,11037
11,38,280,280,100.0,11038
11,39,316,316,100.0,11039
