ward,precinct,total,Patricia O'Brien Sheahan,Patricia O'Brien Sheahan Percent,precinct_id
1,1,190,190,100.0,01001
1,2,174,174,100.0,01002
1,3,193,193,100.0,01003
1,4,210,210,100.0,01004
1,5,200,200,100.0,01005
1,6,227,227,100.0,01006
1,7,131,131,100.0,01007
1,8,168,168,100.0,01008
1,9,166,166,100.0,01009
1,10,195,195,100.0,01010
1,11,199,199,100.0,01011
1,12,196,196,100.0,01012
1,13,79,79,100.0,01013
1,14,213,213,100.0,01014
1,15,183,183,100.0,01015
1,16,152,152,100.0,01016
1,17,177,177,100.0,01017
1,18,200,200,100.0,01018
1,19,238,238,100.0,01019
1,20,169,169,100.0,01020
1,21,183,183,100.0,01021
1,22,99,99,100.0,01022
1,23,262,262,100.0,01023
1,24,163,163,100.0,01024
1,25,135,135,100.0,01025
1,26,133,133,100.0,01026
1,27,164,164,100.0,01027
1,28,106,106,100.0,01028
1,29,191,191,100.0,01029
1,30,197,197,100.0,01030
1,31,178,178,100.0,01031
1,32,172,172,100.0,01032
1,33,175,175,100.0,01033
1,34,152,152,100.0,01034
1,35,207,207,100.0,01035
1,36,203,203,100.0,01036
1,37,196,196,100.0,01037
1,38,176,176,100.0,01038
1,39,151,151,100.0,01039
1,40,194,194,100.0,01040
1,41,135,135,100.0,01041
1,42,65,65,100.0,01042
1,43,121,121,100.0,01043
1,44,131,131,100.0,01044
2,1,189,189,100.0,02001
2,2,203,203,100.0,02002
2,3,176,176,100.0,02003
2,4,193,193,100.0,02004
2,5,221,221,100.0,02005
2,6,197,197,100.0,02006
2,7,166,166,100.0,02007
2,8,178,178,100.0,02008
2,9,171,171,100.0,02009
2,10,230,230,100.0,02010
2,11,201,201,100.0,02011
2,12,235,235,100.0,02012
2,13,232,232,100.0,02013
2,14,231,231,100.0,02014
2,15,193,193,100.0,02015
2,16,169,169,100.0,02016
2,17,249,249,100.0,02017
2,18,181,181,100.0,02018
2,19,192,192,100.0,02019
2,20,201,201,100.0,02020
2,21,214,214,100.0,02021
2,22,221,221,100.0,02022
2,23,171,171,100.0,02023
2,24,179,179,100.0,02024
2,25,202,202,100.0,02025
2,26,189,189,100.0,02026
2,27,174,174,100.0,02027
2,28,228,228,100.0,02028
2,29,177,177,100.0,02029
2,30,180,180,100.0,02030
2,31,311,311,100.0,02031
2,32,166,166,100.0,02032
2,33,346,346,100.0,02033
2,34,217,217,100.0,02034
2,35,192,192,100.0,02035
2,36,173,173,100.0,02036
2,37,229,229,100.0,02037
2,38,194,194,100.0,02038
2,39,132,132,100.0,02039
2,40,192,192,100.0,02040
2,41,159,159,100.0,02041
2,42,212,212,100.0,02042
2,43,247,247,100.0,02043
2,44,137,137,100.0,02044
2,45,246,246,100.0,02045
2,46,130,130,100.0,02046
3,1,341,341,100.0,03001
3,2,402,402,100.0,03002
3,3,253,253,100.0,03003
3,4,348,348,100.0,03004
3,5,232,232,100.0,03005
3,6,256,256,100.0,03006
3,7,291,291,100.0,03007
3,8,248,248,100.0,03008
3,9,312,312,100.0,03009
3,10,195,195,100.0,03010
3,11,319,319,100.0,03011
3,12,327,327,100.0,03012
3,13,312,312,100.0,03013
3,14,252,252,100.0,03014
3,15,257,257,100.0,03015
3,16,293,293,100.0,03016
3,17,277,277,100.0,03017
3,18,440,440,100.0,03018
3,19,268,268,100.0,03019
3,20,310,310,100.0,03020
3,21,305,305,100.0,03021
3,22,258,258,100.0,03022
3,23,289,289,100.0,03023
3,24,258,258,100.0,03024
3,25,305,305,100.0,03025
3,26,318,318,100.0,03026
3,27,257,257,100.0,03027
3,28,242,242,100.0,03028
3,29,300,300,100.0,03029
3,30,314,314,100.0,03030
3,31,351,351,100.0,03031
3,32,284,284,100.0,03032
3,33,243,243,100.0,03033
3,34,305,305,100.0,03034
3,35,166,166,100.0,03035
3,36,199,199,100.0,03036
3,37,254,254,100.0,03037
3,38,293,293,100.0,03038
3,39,228,228,100.0,03039
3,40,316,316,100.0,03040
3,41,215,215,100.0,03041
4,1,309,309,100.0,04001
4,2,279,279,100.0,04002
4,3,321,321,100.0,04003
4,4,404,404,100.0,04004
4,5,313,313,100.0,04005
4,6,427,427,100.0,04006
4,7,404,404,100.0,04007
4,8,377,377,100.0,04008
4,9,437,437,100.0,04009
4,10,393,393,100.0,04010
4,11,343,343,100.0,04011
4,12,339,339,100.0,04012
4,13,195,195,100.0,04013
4,14,317,317,100.0,04014
4,15,379,379,100.0,04015
4,16,245,245,100.0,04016
4,17,265,265,100.0,04017
4,18,330,330,100.0,04018
4,19,323,323,100.0,04019
4,20,278,278,100.0,04020
4,21,285,285,100.0,04021
4,22,317,317,100.0,04022
4,23,388,388,100.0,04023
4,24,296,296,100.0,04024
4,25,294,294,100.0,04025
4,26,322,322,100.0,04026
4,27,295,295,100.0,04027
4,28,299,299,100.0,04028
4,29,300,300,100.0,04029
4,30,415,415,100.0,04030
4,31,389,389,100.0,04031
4,32,343,343,100.0,04032
4,33,347,347,100.0,04033
4,34,280,280,100.0,04034
4,35,434,434,100.0,04035
4,36,352,352,100.0,04036
4,37,255,255,100.0,04037
4,38,399,399,100.0,04038
5,1,268,268,100.0,05001
5,2,288,288,100.0,05002
5,3,264,264,100.0,05003
5,4,300,300,100.0,05004
5,5,307,307,100.0,05005
5,6,262,262,100.0,05006
5,7,291,291,100.0,05007
5,8,286,286,100.0,05008
5,9,323,323,100.0,05009
5,10,258,258,100.0,05010
5,11,305,305,100.0,05011
5,12,247,247,100.0,05012
5,13,236,236,100.0,05013
5,14,267,267,100.0,05014
5,15,283,283,100.0,05015
5,16,301,301,100.0,05016
5,17,281,281,100.0,05017
5,18,254,254,100.0,05018
5,19,278,278,100.0,05019
5,20,324,324,100.0,05020
5,21,267,267,100.0,05021
5,22,317,317,100.0,05022
5,23,417,417,100.0,05023
5,24,274,274,100.0,05024
5,25,284,284,100.0,05025
5,26,281,281,100.0,05026
5,27,203,203,100.0,05027
5,28,329,329,100.0,05028
5,29,383,383,100.0,05029
5,30,227,227,100.0,05030
5,31,262,262,100.0,05031
5,32,308,308,100.0,05032
5,33,385,385,100.0,05033
5,34,291,291,100.0,05034
5,35,265,265,100.0,05035
5,36,252,252,100.0,05036
5,37,281,281,100.0,05037
5,38,268,268,100.0,05038
5,39,234,234,100.0,05039
5,40,269,269,100.0,05040
5,41,165,165,100.0,05041
6,1,309,309,100.0,06001
6,2,296,296,100.0,06002
6,3,318,318,100.0,06003
6,4,229,229,100.0,06004
6,5,226,226,100.0,06005
6,6,302,302,100.0,06006
6,7,273,273,100.0,06007
6,8,292,292,100.0,06008
6,9,250,250,100.0,06009
6,10,206,206,100.0,06010
6,11,262,262,100.0,06011
6,12,199,199,100.0,06012
6,13,221,221,100.0,06013
6,14,269,269,100.0,06014
6,15,264,264,100.0,06015
6,16,302,302,100.0,06016
6,17,209,209,100.0,06017
6,18,192,192,100.0,06018
6,19,267,267,100.0,06019
6,20,156,156,100.0,06020
6,21,190,190,100.0,06021
6,22,186,186,100.0,06022
6,23,186,186,100.0,06023
6,24,165,165,100.0,06024
6,25,169,169,100.0,06025
6,26,216,216,100.0,06026
6,27,165,165,100.0,06027
6,28,161,161,100.0,06028
6,29,316,316,100.0,06029
6,30,254,254,100.0,06030
6,31,285,285,100.0,06031
6,32,246,246,100.0,06032
6,33,278,278,100.0,06033
6,34,281,281,100.0,06034
6,35,263,263,100.0,06035
6,36,314,314,100.0,06036
6,37,327,327,100.0,06037
6,38,278,278,100.0,06038
6,39,259,259,100.0,06039
6,40,238,238,100.0,06040
6,41,294,294,100.0,06041
6,42,308,308,100.0,06042
6,43,251,251,100.0,06043
6,44,287,287,100.0,06044
6,45,283,283,100.0,06045
6,46,217,217,100.0,06046
6,47,218,218,100.0,06047
6,48,286,286,100.0,06048
7,1,245,245,100.0,07001
7,2,235,235,100.0,07002
7,3,278,278,100.0,07003
7,4,241,241,100.0,07004
7,5,210,210,100.0,07005
7,6,304,304,100.0,07006
7,7,263,263,100.0,07007
7,8,207,207,100.0,07008
7,9,436,436,100.0,07009
7,10,275,275,100.0,07010
7,11,276,276,100.0,07011
7,12,269,269,100.0,07012
7,13,183,183,100.0,07013
7,14,254,254,100.0,07014
7,15,285,285,100.0,07015
7,16,202,202,100.0,07016
7,17,244,244,100.0,07017
7,18,228,228,100.0,07018
7,19,234,234,100.0,07019
7,20,198,198,100.0,07020
7,21,229,229,100.0,07021
7,22,205,205,100.0,07022
7,23,279,279,100.0,07023
7,24,255,255,100.0,07024
7,25,224,224,100.0,07025
7,26,219,219,100.0,07026
7,27,227,227,100.0,07027
7,28,174,174,100.0,07028
7,29,224,224,100.0,07029
7,30,208,208,100.0,07030
7,31,144,144,100.0,07031
7,32,367,367,100.0,07032
7,33,346,346,100.0,07033
7,34,332,332,100.0,07034
7,35,258,258,100.0,07035
7,36,323,323,100.0,07036
7,37,306,306,100.0,07037
7,38,217,217,100.0,07038
7,39,260,260,100.0,07039
7,40,263,263,100.0,07040
7,41,254,254,100.0,07041
7,42,240,240,100.0,07042
7,43,267,267,100.0,07043
7,44,245,245,100.0,07044
7,45,268,268,100.0,07045
7,46,88,88,100.0,07046
8,1,221,221,100.0,08001
8,2,280,280,100.0,08002
8,3,343,343,100.0,08003
8,4,310,310,100.0,08004
8,5,334,334,100.0,08005
8,6,288,288,100.0,08006
8,7,335,335,100.0,08007
8,8,277,277,100.0,08008
8,9,200,200,100.0,08009
8,10,362,362,100.0,08010
8,11,279,279,100.0,08011
8,12,263,263,100.0,08012
8,13,337,337,100.0,08013
8,14,188,188,100.0,08014
8,15,257,257,100.0,08015
8,16,110,110,100.0,08016
8,17,243,243,100.0,08017
8,18,276,276,100.0,08018
8,19,338,338,100.0,08019
8,20,309,309,100.0,08020
8,21,331,331,100.0,08021
8,22,260,260,100.0,08022
8,23,236,236,100.0,08023
8,24,170,170,100.0,08024
8,25,280,280,100.0,08025
8,26,281,281,100.0,08026
8,27,313,313,100.0,08027
8,28,312,312,100.0,08028
8,29,334,334,100.0,08029
8,30,291,291,100.0,08030
8,31,276,276,100.0,08031
8,32,224,224,100.0,08032
8,33,260,260,100.0,08033
8,34,268,268,100.0,08034
8,35,295,295,100.0,08035
8,36,308,308,100.0,08036
8,37,236,236,100.0,08037
8,38,185,185,100.0,08038
8,39,307,307,100.0,08039
8,40,215,215,100.0,08040
8,41,305,305,100.0,08041
8,42,332,332,100.0,08042
8,43,146,146,100.0,08043
8,44,189,189,100.0,08044
8,45,249,249,100.0,08045
8,46,244,244,100.0,08046
8,47,225,225,100.0,08047
8,48,197,197,100.0,08048
8,49,319,319,100.0,08049
8,50,293,293,100.0,08050
8,51,372,372,100.0,08051
8,52,353,353,100.0,08052
8,53,169,169,100.0,08053
8,54,211,211,100.0,08054
8,55,189,189,100.0,08055
8,56,306,306,100.0,08056
9,1,283,283,100.0,09001
9,2,244,244,100.0,09002
9,3,217,217,100.0,09003
9,4,227,227,100.0,09004
9,5,254,254,100.0,09005
9,6,278,278,100.0,09006
9,7,191,191,100.0,09007
9,8,276,276,100.0,09008
9,9,299,299,100.0,09009
9,10,284,284,100.0,09010
9,11,208,208,100.0,09011
9,12,297,297,100.0,09012
9,13,301,301,100.0,09013
9,14,352,352,100.0,09014
9,15,253,253,100.0,09015
9,16,261,261,100.0,09016
9,17,236,236,100.0,09017
9,18,201,201,100.0,09018
9,19,262,262,100.0,09019
9,20,297,297,100.0,09020
9,21,251,251,100.0,09021
9,22,295,295,100.0,09022
9,23,293,293,100.0,09023
9,24,289,289,100.0,09024
9,25,265,265,100.0,09025
9,26,259,259,100.0,09026
9,27,262,262,100.0,09027
9,28,139,139,100.0,09028
9,29,223,223,100.0,09029
9,30,209,209,100.0,09030
9,31,209,209,100.0,09031
9,32,257,257,100.0,09032
9,33,204,204,100.0,09033
9,34,226,226,100.0,09034
9,35,285,285,100.0,09035
9,36,248,248,100.0,09036
9,37,281,281,100.0,09037
9,38,255,255,100.0,09038
9,39,306,306,100.0,09039
9,40,299,299,100.0,09040
9,41,238,238,100.0,09041
9,42,310,310,100.0,09042
9,43,311,311,100.0,09043
9,44,265,265,100.0,09044
9,45,234,234,100.0,09045
9,46,246,246,100.0,09046
9,47,317,317,100.0,09047
9,48,297,297,100.0,09048
9,49,274,274,100.0,09049
9,50,366,366,100.0,09050
9,51,267,267,100.0,09051
10,1,183,183,100.0,10001
10,2,188,188,100.0,10002
10,3,183,183,100.0,10003
10,4,147,147,100.0,10004
10,5,163,163,100.0,10005
10,6,141,141,100.0,10006
10,7,122,122,100.0,10007
10,8,169,169,100.0,10008
10,9,171,171,100.0,10009
10,10,184,184,100.0,10010
10,11,209,209,100.0,10011
10,12,113,113,100.0,10012
10,13,211,211,100.0,10013
10,14,233,233,100.0,10014
10,15,491,491,100.0,10015
10,16,139,139,100.0,10016
10,17,264,264,100.0,10017
10,18,134,134,100.0,10018
10,19,187,187,100.0,10019
10,20,197,197,100.0,10020
10,21,177,177,100.0,10021
10,22,95,95,100.0,10022
10,23,164,164,100.0,10023
10,24,199,199,100.0,10024
10,25,76,76,100.0,10025
10,26,135,135,100.0,10026
10,27,230,230,100.0,10027
10,28,172,172,100.0,10028
10,29,144,144,100.0,10029
10,30,154,154,100.0,10030
10,31,125,125,100.0,10031
10,32,158,158,100.0,10032
10,33,139,139,100.0,10033
10,34,146,146,100.0,10034
10,35,190,190,100.0,10035
10,36,63,63,100.0,10036
11,1,207,207,100.0,11001
11,2,45,45,100.0,11002
11,3,129,129,100.0,11003
11,4,191,191,100.0,11004
11,5,226,226,100.0,11005
11,6,253,253,100.0,11006
11,7,230,230,100.0,11007
11,8,177,177,100.0,11008
11,9,189,189,100.0,11009
11,10,201,201,100.0,11010
11,11,222,222,100.0,11011
11,12,308,308,100.0,11012
11,13,269,269,100.0,11013
11,14,114,114,100.0,11014
11,15,84,84,100.0,11015
11,16,143,143,100.0,11016
11,17,221,221,100.0,11017
11,18,164,164,100.0,11018
11,19,221,221,100.0,11019
11,20,164,164,100.0,11020
11,21,323,323,100.0,11021
11,22,235,235,100.0,11022
11,23,151,151,100.0,11023
11,24,291,291,100.0,11024
11,25,217,217,100.0,11025
11,26,248,248,100.0,11026
11,27,77,77,100.0,11027
11,28,116,116,100.0,11028
11,29,215,215,100.0,11029
11,30,113,113,100.0,11030
11,31,203,203,100.0,11031
11,32,84,84,100.0,11032
11,33,212,212,100.0,11033
11,34,87,87,100.0,11034
11,35,75,75,100.0,11035
11,36,108,108,100.0,11036
11,37,60,60,100.0,11037
11,38,83,83,100.0,11038
12,1,198,198,100.0,12001
12,2,136,136,100.0,12002
12,3,222,222,100.0,12003
12,4,167,167,100.0,12004
12,5,174,174,100.0,12005
12,6,154,154,100.0,12006
12,7,136,136,100.0,12007
12,8,206,206,100.0,12008
12,9,144,144,100.0,12009
12,10,153,153,100.0,12010
12,11,156,156,100.0,12011
12,12,154,154,100.0,12012
12,13,156,156,100.0,12013
12,14,113,113,100.0,12014
12,15,133,133,100.0,12015
12,16,121,121,100.0,12016
12,17,165,165,100.0,12017
12,18,140,140,100.0,12018
12,19,175,175,100.0,12019
12,20,183,183,100.0,12020
12,21,180,180,100.0,12021
12,22,118,118,100.0,12022
12,23,192,192,100.0,12023
13,1,196,196,100.0,13001
13,2,181,181,100.0,13002
13,3,123,123,100.0,13003
13,4,225,225,100.0,13004
13,5,232,232,100.0,13005
13,6,192,192,100.0,13006
13,7,155,155,100.0,13007
13,8,144,144,100.0,13008
13,9,189,189,100.0,13009
13,10,204,204,100.0,13010
13,11,231,231,100.0,13011
13,12,163,163,100.0,13012
13,13,217,217,100.0,13013
13,14,157,157,100.0,13014
13,15,308,308,100.0,13015
13,16,140,140,100.0,13016
13,17,173,173,100.0,13017
13,18,166,166,100.0,13018
13,19,201,201,100.0,13019
13,20,134,134,100.0,13020
13,21,218,218,100.0,13021
13,22,207,207,100.0,13022
13,23,150,150,100.0,13023
13,24,168,168,100.0,13024
13,25,182,182,100.0,13025
13,26,178,178,100.0,13026
13,27,200,200,100.0,13027
13,28,137,137,100.0,13028
13,29,151,151,100.0,13029
13,30,127,127,100.0,13030
13,31,208,208,100.0,13031
13,32,162,162,100.0,13032
13,33,177,177,100.0,13033
13,34,218,218,100.0,13034
13,35,179,179,100.0,13035
13,36,112,112,100.0,13036
13,37,247,247,100.0,13037
13,38,170,170,100.0,13038
13,39,206,206,100.0,13039
13,40,151,151,100.0,13040
13,41,217,217,100.0,13041
13,42,195,195,100.0,13042
13,43,206,206,100.0,13043
13,44,238,238,100.0,13044
13,45,246,246,100.0,13045
13,46,211,211,100.0,13046
13,47,171,171,100.0,13047
13,48,179,179,100.0,13048
14,1,261,261,100.0,14001
14,2,246,246,100.0,14002
14,3,148,148,100.0,14003
14,4,189,189,100.0,14004
14,5,217,217,100.0,14005
14,6,88,88,100.0,14006
14,7,198,198,100.0,14007
14,8,167,167,100.0,14008
14,9,221,221,100.0,14009
14,10,126,126,100.0,14010
14,11,88,88,100.0,14011
14,12,191,191,100.0,14012
14,13,160,160,100.0,14013
14,14,163,163,100.0,14014
14,15,197,197,100.0,14015
