ward,precinct,total,"Larry Rogers, Jr.","Larry Rogers, Jr. Percent",precinct_id
2,10,162,162,100.0,02010
3,1,382,382,100.0,03001
3,2,449,449,100.0,03002
3,3,301,301,100.0,03003
3,4,403,403,100.0,03004
3,5,262,262,100.0,03005
3,6,290,290,100.0,03006
3,7,328,328,100.0,03007
3,8,277,277,100.0,03008
3,9,362,362,100.0,03009
3,10,218,218,100.0,03010
3,11,354,354,100.0,03011
3,12,377,377,100.0,03012
3,13,352,352,100.0,03013
3,14,283,283,100.0,03014
3,15,291,291,100.0,03015
3,16,329,329,100.0,03016
3,17,293,293,100.0,03017
3,18,506,506,100.0,03018
3,19,299,299,100.0,03019
3,20,366,366,100.0,03020
3,21,352,352,100.0,03021
3,22,286,286,100.0,03022
3,23,321,321,100.0,03023
3,24,288,288,100.0,03024
3,25,354,354,100.0,03025
3,26,371,371,100.0,03026
3,27,286,286,100.0,03027
3,28,262,262,100.0,03028
3,29,339,339,100.0,03029
3,30,343,343,100.0,03030
3,31,379,379,100.0,03031
3,32,302,302,100.0,03032
3,33,276,276,100.0,03033
3,34,338,338,100.0,03034
3,35,185,185,100.0,03035
3,36,210,210,100.0,03036
3,37,289,289,100.0,03037
3,38,337,337,100.0,03038
3,39,241,241,100.0,03039
3,40,339,339,100.0,03040
3,41,239,239,100.0,03041
4,1,363,363,100.0,04001
4,2,315,315,100.0,04002
4,3,336,336,100.0,04003
4,4,450,450,100.0,04004
4,5,353,353,100.0,04005
4,6,470,470,100.0,04006
4,7,442,442,100.0,04007
4,8,419,419,100.0,04008
4,9,481,481,100.0,04009
4,10,427,427,100.0,04010
4,11,382,382,100.0,04011
4,12,375,375,100.0,04012
4,13,217,217,100.0,04013
4,14,352,352,100.0,04014
4,15,429,429,100.0,04015
4,16,276,276,100.0,04016
4,17,308,308,100.0,04017
4,18,372,372,100.0,04018
4,19,350,350,100.0,04019
4,20,305,305,100.0,04020
4,21,293,293,100.0,04021
4,22,365,365,100.0,04022
4,23,439,439,100.0,04023
4,24,332,332,100.0,04024
4,25,311,311,100.0,04025
4,26,371,371,100.0,04026
4,27,334,334,100.0,04027
4,28,327,327,100.0,04028
4,29,329,329,100.0,04029
4,30,474,474,100.0,04030
4,31,440,440,100.0,04031
4,32,371,371,100.0,04032
4,33,396,396,100.0,04033
4,34,322,322,100.0,04034
4,35,483,483,100.0,04035
4,36,410,410,100.0,04036
4,37,293,293,100.0,04037
4,38,450,450,100.0,04038
5,1,299,299,100.0,05001
5,2,316,316,100.0,05002
5,3,304,304,100.0,05003
5,4,346,346,100.0,05004
5,5,351,351,100.0,05005
5,6,312,312,100.0,05006
5,7,322,322,100.0,05007
5,8,327,327,100.0,05008
5,9,368,368,100.0,05009
5,10,300,300,100.0,05010
5,11,357,357,100.0,05011
5,12,279,279,100.0,05012
5,13,249,249,100.0,05013
5,14,312,312,100.0,05014
5,15,312,312,100.0,05015
5,16,336,336,100.0,05016
5,17,295,295,100.0,05017
5,18,275,275,100.0,05018
5,19,308,308,100.0,05019
5,20,386,386,100.0,05020
5,21,306,306,100.0,05021
5,22,375,375,100.0,05022
5,23,471,471,100.0,05023
5,24,312,312,100.0,05024
5,25,348,348,100.0,05025
5,26,319,319,100.0,05026
5,27,228,228,100.0,05027
5,28,388,388,100.0,05028
5,29,440,440,100.0,05029
5,30,271,271,100.0,05030
5,31,277,277,100.0,05031
5,32,362,362,100.0,05032
5,33,406,406,100.0,05033
5,34,321,321,100.0,05034
5,35,303,303,100.0,05035
5,36,288,288,100.0,05036
5,37,351,351,100.0,05037
5,38,305,305,100.0,05038
5,39,277,277,100.0,05039
5,40,306,306,100.0,05040
5,41,204,204,100.0,05041
6,1,365,365,100.0,06001
6,2,343,343,100.0,06002
6,3,364,364,100.0,06003
6,4,256,256,100.0,06004
6,5,264,264,100.0,06005
6,6,331,331,100.0,06006
6,7,294,294,100.0,06007
6,8,337,337,100.0,06008
6,9,293,293,100.0,06009
6,10,226,226,100.0,06010
6,11,299,299,100.0,06011
6,12,228,228,100.0,06012
6,13,269,269,100.0,06013
6,14,312,312,100.0,06014
6,15,296,296,100.0,06015
6,16,349,349,100.0,06016
6,17,248,248,100.0,06017
6,18,226,226,100.0,06018
6,19,309,309,100.0,06019
6,20,180,180,100.0,06020
6,21,214,214,100.0,06021
6,22,218,218,100.0,06022
6,23,205,205,100.0,06023
6,24,179,179,100.0,06024
6,25,192,192,100.0,06025
6,26,233,233,100.0,06026
6,27,181,181,100.0,06027
6,28,174,174,100.0,06028
6,29,369,369,100.0,06029
6,30,284,284,100.0,06030
6,31,325,325,100.0,06031
6,32,292,292,100.0,06032
6,33,318,318,100.0,06033
6,34,317,317,100.0,06034
6,35,302,302,100.0,06035
6,36,360,360,100.0,06036
6,37,373,373,100.0,06037
6,38,333,333,100.0,06038
6,39,298,298,100.0,06039
6,40,270,270,100.0,06040
6,41,334,334,100.0,06041
6,42,329,329,100.0,06042
6,43,284,284,100.0,06043
6,44,325,325,100.0,06044
6,45,324,324,100.0,06045
6,46,251,251,100.0,06046
6,47,245,245,100.0,06047
6,48,317,317,100.0,06048
7,1,272,272,100.0,07001
7,2,283,283,100.0,07002
7,3,302,302,100.0,07003
7,4,284,284,100.0,07004
7,5,275,275,100.0,07005
7,6,356,356,100.0,07006
7,7,298,298,100.0,07007
7,8,243,243,100.0,07008
7,9,512,512,100.0,07009
7,10,319,319,100.0,07010
7,11,326,326,100.0,07011
7,12,293,293,100.0,07012
7,13,228,228,100.0,07013
7,14,286,286,100.0,07014
7,15,334,334,100.0,07015
7,16,229,229,100.0,07016
7,17,263,263,100.0,07017
7,18,262,262,100.0,07018
7,19,280,280,100.0,07019
7,20,213,213,100.0,07020
7,21,259,259,100.0,07021
7,22,224,224,100.0,07022
7,23,312,312,100.0,07023
7,24,295,295,100.0,07024
7,25,256,256,100.0,07025
7,26,250,250,100.0,07026
7,27,271,271,100.0,07027
7,28,203,203,100.0,07028
7,29,263,263,100.0,07029
7,30,232,232,100.0,07030
7,31,174,174,100.0,07031
7,32,433,433,100.0,07032
7,33,390,390,100.0,07033
7,34,389,389,100.0,07034
7,35,305,305,100.0,07035
7,36,353,353,100.0,07036
7,37,339,339,100.0,07037
7,38,244,244,100.0,07038
7,39,288,288,100.0,07039
7,40,298,298,100.0,07040
7,41,285,285,100.0,07041
7,42,277,277,100.0,07042
7,43,299,299,100.0,07043
7,44,284,284,100.0,07044
7,45,299,299,100.0,07045
7,46,98,98,100.0,07046
8,1,259,259,100.0,08001
8,2,318,318,100.0,08002
8,3,394,394,100.0,08003
8,4,361,361,100.0,08004
8,5,403,403,100.0,08005
8,6,322,322,100.0,08006
8,7,381,381,100.0,08007
8,8,312,312,100.0,08008
8,9,228,228,100.0,08009
8,10,420,420,100.0,08010
8,11,325,325,100.0,08011
8,12,289,289,100.0,08012
8,13,389,389,100.0,08013
8,14,205,205,100.0,08014
8,15,296,296,100.0,08015
8,16,123,123,100.0,08016
8,17,286,286,100.0,08017
8,18,298,298,100.0,08018
8,19,381,381,100.0,08019
8,20,367,367,100.0,08020
8,21,383,383,100.0,08021
8,22,295,295,100.0,08022
8,23,270,270,100.0,08023
8,24,204,204,100.0,08024
8,25,291,291,100.0,08025
8,26,331,331,100.0,08026
8,27,352,352,100.0,08027
8,28,358,358,100.0,08028
8,29,371,371,100.0,08029
8,30,337,337,100.0,08030
8,31,300,300,100.0,08031
8,32,260,260,100.0,08032
8,33,297,297,100.0,08033
8,34,315,315,100.0,08034
8,35,329,329,100.0,08035
8,36,341,341,100.0,08036
8,37,275,275,100.0,08037
8,38,217,217,100.0,08038
8,39,346,346,100.0,08039
8,40,243,243,100.0,08040
8,41,333,333,100.0,08041
8,42,382,382,100.0,08042
8,43,178,178,100.0,08043
8,44,219,219,100.0,08044
8,45,283,283,100.0,08045
8,46,268,268,100.0,08046
8,47,258,258,100.0,08047
8,48,216,216,100.0,08048
8,49,338,338,100.0,08049
8,50,343,343,100.0,08050
8,51,432,432,100.0,08051
8,52,407,407,100.0,08052
8,53,183,183,100.0,08053
8,54,238,238,100.0,08054
8,55,205,205,100.0,08055
