ward,precinct,total,Robert D. Kuzas,Robert D. Kuzas Percent,precinct_id
11,6,241,241,100.0,11006
11,7,70,70,100.0,11007
22,19,0,0,0.0,22019
22,21,245,245,100.0,22021
24,1,189,189,100.0,24001
24,2,213,213,100.0,24002
24,3,238,238,100.0,24003
24,4,168,168,100.0,24004
24,5,122,122,100.0,24005
24,6,202,202,100.0,24006
24,8,113,113,100.0,24008
24,9,166,166,100.0,24009
24,10,99,99,100.0,24010
24,11,192,192,100.0,24011
24,12,135,135,100.0,24012
24,13,110,110,100.0,24013
24,14,197,197,100.0,24014
24,15,107,107,100.0,24015
24,16,19,19,100.0,24016
24,17,154,154,100.0,24017
24,18,217,217,100.0,24018
24,19,240,240,100.0,24019
24,20,170,170,100.0,24020
24,21,113,113,100.0,24021
24,22,238,238,100.0,24022
24,23,162,162,100.0,24023
24,24,277,277,100.0,24024
24,25,176,176,100.0,24025
24,26,268,268,100.0,24026
24,27,221,221,100.0,24027
24,28,151,151,100.0,24028
24,29,169,169,100.0,24029
24,30,111,111,100.0,24030
24,31,224,224,100.0,24031
24,32,118,118,100.0,24032
24,33,115,115,100.0,24033
24,34,155,155,100.0,24034
24,35,208,208,100.0,24035
24,36,278,278,100.0,24036
24,37,119,119,100.0,24037
24,38,147,147,100.0,24038
24,40,190,190,100.0,24040
24,41,138,138,100.0,24041
25,3,218,218,100.0,25003
25,4,160,160,100.0,25004
25,10,203,203,100.0,25010
25,16,206,206,100.0,25016
25,20,168,168,100.0,25020
25,25,47,47,100.0,25025
25,27,110,110,100.0,25027
25,29,212,212,100.0,25029
25,31,217,217,100.0,25031
26,2,92,92,100.0,26002
26,10,94,94,100.0,26010
26,17,105,105,100.0,26017
26,31,0,0,0.0,26031
26,46,85,85,100.0,26046
27,2,239,239,100.0,27002
27,3,119,119,100.0,27003
27,4,131,131,100.0,27004
27,5,149,149,100.0,27005
27,8,172,172,100.0,27008
27,10,196,196,100.0,27010
27,14,143,143,100.0,27014
27,15,164,164,100.0,27015
27,16,142,142,100.0,27016
27,17,197,197,100.0,27017
27,18,187,187,100.0,27018
27,19,119,119,100.0,27019
27,22,143,143,100.0,27022
27,23,176,176,100.0,27023
27,24,120,120,100.0,27024
27,25,150,150,100.0,27025
27,26,156,156,100.0,27026
27,27,194,194,100.0,27027
27,29,171,171,100.0,27029
27,30,125,125,100.0,27030
27,31,175,175,100.0,27031
27,32,163,163,100.0,27032
27,33,142,142,100.0,27033
27,34,213,213,100.0,27034
27,36,146,146,100.0,27036
27,39,162,162,100.0,27039
27,41,188,188,100.0,27041
27,43,164,164,100.0,27043
27,44,195,195,100.0,27044
27,45,166,166,100.0,27045
27,49,142,142,100.0,27049
27,50,166,166,100.0,27050
28,1,156,156,100.0,28001
28,2,150,150,100.0,28002
28,3,165,165,100.0,28003
28,4,136,136,100.0,28004
28,5,125,125,100.0,28005
28,6,103,103,100.0,28006
28,7,230,230,100.0,28007
28,8,115,115,100.0,28008
28,9,199,199,100.0,28009
28,10,157,157,100.0,28010
28,11,263,263,100.0,28011
28,12,238,238,100.0,28012
28,13,193,193,100.0,28013
28,14,143,143,100.0,28014
28,15,76,76,100.0,28015
28,16,121,121,100.0,28016
28,17,182,182,100.0,28017
28,18,163,163,100.0,28018
28,19,137,137,100.0,28019
28,20,155,155,100.0,28020
28,21,205,205,100.0,28021
28,22,174,174,100.0,28022
28,23,241,241,100.0,28023
28,24,187,187,100.0,28024
28,25,279,279,100.0,28025
28,26,243,243,100.0,28026
28,27,152,152,100.0,28027
28,28,190,190,100.0,28028
28,29,97,97,100.0,28029
28,30,40,40,100.0,28030
28,31,272,272,100.0,28031
28,32,195,195,100.0,28032
28,33,219,219,100.0,28033
28,34,289,289,100.0,28034
28,35,223,223,100.0,28035
28,36,110,110,100.0,28036
28,37,299,299,100.0,28037
28,38,107,107,100.0,28038
28,39,175,175,100.0,28039
28,40,255,255,100.0,28040
28,41,179,179,100.0,28041
28,42,217,217,100.0,28042
28,43,236,236,100.0,28043
28,44,155,155,100.0,28044
28,45,146,146,100.0,28045
28,46,252,252,100.0,28046
29,2,377,377,100.0,29002
29,3,236,236,100.0,29003
29,4,305,305,100.0,29004
29,5,226,226,100.0,29005
29,6,212,212,100.0,29006
29,8,209,209,100.0,29008
29,11,171,171,100.0,29011
29,13,258,258,100.0,29013
29,14,254,254,100.0,29014
29,16,324,324,100.0,29016
29,18,226,226,100.0,29018
29,19,291,291,100.0,29019
29,20,280,280,100.0,29020
29,21,267,267,100.0,29021
29,22,182,182,100.0,29022
29,25,279,279,100.0,29025
29,26,249,249,100.0,29026
29,27,199,199,100.0,29027
29,28,339,339,100.0,29028
29,33,170,170,100.0,29033
29,34,134,134,100.0,29034
29,35,182,182,100.0,29035
29,37,234,234,100.0,29037
29,40,271,271,100.0,29040
29,41,216,216,100.0,29041
29,42,268,268,100.0,29042
29,44,304,304,100.0,29044
37,1,218,218,100.0,37001
37,3,159,159,100.0,37003
37,4,171,171,100.0,37004
37,5,260,260,100.0,37005
37,6,200,200,100.0,37006
37,7,149,149,100.0,37007
37,8,134,134,100.0,37008
37,9,226,226,100.0,37009
37,11,159,159,100.0,37011
37,13,169,169,100.0,37013
37,14,202,202,100.0,37014
37,15,228,228,100.0,37015
37,17,195,195,100.0,37017
37,18,225,225,100.0,37018
37,19,126,126,100.0,37019
37,20,200,200,100.0,37020
37,21,166,166,100.0,37021
37,22,38,38,100.0,37022
37,23,269,269,100.0,37023
37,24,36,36,100.0,37024
