ward,precinct,total,Mary Jane Theis,Mary Jane Theis Percent,James Gerard Riley,James Gerard Riley Percent,precinct_id
1,1,402,358,89.05,44,10.95,01001
1,2,369,338,91.6,31,8.4,01002
1,3,556,467,83.99,89,16.01,01003
1,4,502,400,79.68,102,20.32,01004
1,5,498,415,83.33,83,16.67,01005
1,6,451,366,81.15,85,18.85,01006
1,7,420,364,86.67,56,13.33,01007
1,8,405,340,83.95,65,16.05,01008
1,9,442,359,81.22,83,18.78,01009
1,10,505,406,80.4,99,19.6,01010
1,11,561,454,80.93,107,19.07,01011
1,12,504,392,77.78,112,22.22,01012
1,13,455,400,87.91,55,12.09,01013
1,14,495,429,86.67,66,13.33,01014
1,15,407,347,85.26,60,14.74,01015
1,16,529,482,91.12,47,8.88,01016
1,17,387,344,88.89,43,11.11,01017
1,18,432,379,87.73,53,12.27,01018
1,19,526,447,84.98,79,15.02,01019
1,20,383,334,87.21,49,12.79,01020
1,21,555,445,80.18,110,19.82,01021
1,22,243,218,89.71,25,10.29,01022
1,23,612,525,85.78,87,14.22,01023
1,24,364,330,90.66,34,9.34,01024
1,25,408,362,88.73,46,11.27,01025
1,26,272,250,91.91,22,8.09,01026
1,27,448,362,80.8,86,19.2,01027
1,28,401,362,90.27,39,9.73,01028
1,29,455,363,79.78,92,20.22,01029
1,30,403,352,87.34,51,12.66,01030
1,31,417,354,84.89,63,15.11,01031
1,32,428,345,80.61,83,19.39,01032
1,33,462,387,83.77,75,16.23,01033
1,34,488,411,84.22,77,15.78,01034
1,35,479,387,80.79,92,19.21,01035
1,36,547,434,79.34,113,20.66,01036
1,37,484,366,75.62,118,24.38,01037
1,38,434,368,84.79,66,15.21,01038
1,39,367,315,85.83,52,14.17,01039
1,40,410,345,84.15,65,15.85,01040
2,1,491,401,81.67,90,18.33,02001
2,2,443,310,69.98,133,30.02,02002
2,3,539,446,82.75,93,17.25,02003
2,4,487,397,81.52,90,18.48,02004
2,5,556,449,80.76,107,19.24,02005
2,6,481,387,80.46,94,19.54,02006
2,7,493,392,79.51,101,20.49,02007
2,8,535,430,80.37,105,19.63,02008
2,9,520,314,60.38,206,39.62,02009
2,10,511,306,59.88,205,40.12,02010
2,11,466,278,59.66,188,40.34,02011
2,12,507,406,80.08,101,19.92,02012
2,13,560,391,69.82,169,30.18,02013
2,14,503,407,80.91,96,19.09,02014
2,15,480,392,81.67,88,18.33,02015
2,16,446,360,80.72,86,19.28,02016
2,17,553,448,81.01,105,18.99,02017
2,18,447,299,66.89,148,33.11,02018
2,19,413,275,66.59,138,33.41,02019
2,20,514,359,69.84,155,30.16,02020
2,21,496,415,83.67,81,16.33,02021
2,22,530,339,63.96,191,36.04,02022
2,23,418,268,64.11,150,35.89,02023
2,24,459,321,69.93,138,30.07,02024
2,25,533,425,79.74,108,20.26,02025
2,26,471,340,72.19,131,27.81,02026
2,27,489,323,66.05,166,33.95,02027
2,28,604,412,68.21,192,31.79,02028
2,29,575,396,68.87,179,31.13,02029
2,30,477,320,67.09,157,32.91,02030
2,31,675,466,69.04,209,30.96,02031
2,32,448,283,63.17,165,36.83,02032
2,33,768,523,68.1,245,31.9,02033
2,34,416,274,65.87,142,34.13,02034
2,35,558,368,65.95,190,34.05,02035
2,36,422,266,63.03,156,36.97,02036
2,37,503,360,71.57,143,28.43,02037
2,38,516,318,61.63,198,38.37,02038
2,39,356,185,51.97,171,48.03,02039
2,40,630,425,67.46,205,32.54,02040
2,41,486,271,55.76,215,44.24,02041
2,42,622,429,68.97,193,31.03,02042
2,43,598,393,65.72,205,34.28,02043
2,44,355,223,62.82,132,37.18,02044
2,45,554,422,76.17,132,23.83,02045
2,46,314,213,67.83,101,32.17,02046
3,1,610,591,96.89,19,3.11,03001
3,2,560,532,95.0,28,5.0,03002
3,3,528,491,92.99,37,7.01,03003
3,4,579,563,97.24,16,2.76,03004
3,5,442,429,97.06,13,2.94,03005
3,6,598,428,71.57,170,28.43,03006
3,7,407,387,95.09,20,4.91,03007
3,8,454,432,95.15,22,4.85,03008
3,9,534,517,96.82,17,3.18,03009
3,10,363,351,96.69,12,3.31,03010
3,11,575,555,96.52,20,3.48,03011
