ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,Diane S. Shapiro,Diane S. Shapiro Percent,precinct_id
1,1,417,352,84.41,65,15.59,01001
1,2,383,340,88.77,43,11.23,01002
1,3,556,425,76.44,131,23.56,01003
1,4,497,376,75.65,121,24.35,01004
1,5,499,383,76.75,116,23.25,01005
1,6,461,345,74.84,116,25.16,01006
1,7,426,339,79.58,87,20.42,01007
1,8,397,321,80.86,76,19.14,01008
1,9,452,349,77.21,103,22.79,01009
1,10,503,375,74.55,128,25.45,01010
1,11,553,410,74.14,143,25.86,01011
1,12,510,361,70.78,149,29.22,01012
1,13,459,381,83.01,78,16.99,01013
1,14,506,412,81.42,94,18.58,01014
1,15,420,349,83.1,71,16.9,01015
1,16,540,463,85.74,77,14.26,01016
1,17,388,326,84.02,62,15.98,01017
1,18,439,377,85.88,62,14.12,01018
1,19,526,423,80.42,103,19.58,01019
1,20,385,332,86.23,53,13.77,01020
1,21,551,416,75.5,135,24.5,01021
1,22,257,223,86.77,34,13.23,01022
1,23,608,500,82.24,108,17.76,01023
1,24,379,342,90.24,37,9.76,01024
1,25,420,355,84.52,65,15.48,01025
1,26,287,252,87.8,35,12.2,01026
1,27,461,353,76.57,108,23.43,01027
1,28,406,356,87.68,50,12.32,01028
1,29,458,340,74.24,118,25.76,01029
1,30,418,350,83.73,68,16.27,01030
1,31,431,345,80.05,86,19.95,01031
1,32,430,314,73.02,116,26.98,01032
1,33,466,348,74.68,118,25.32,01033
1,34,483,395,81.78,88,18.22,01034
1,35,472,357,75.64,115,24.36,01035
1,36,534,389,72.85,145,27.15,01036
1,37,480,321,66.88,159,33.13,01037
1,38,438,347,79.22,91,20.78,01038
1,39,382,313,81.94,69,18.06,01039
1,40,428,345,80.61,83,19.39,01040
2,1,489,363,74.23,126,25.77,02001
2,2,441,256,58.05,185,41.95,02002
2,3,539,413,76.62,126,23.38,02003
2,4,488,366,75.0,122,25.0,02004
2,5,553,425,76.85,128,23.15,02005
