ward,precinct,total,Daniel Estrada,Daniel Estrada Percent,precinct_id
10,1,0,0,0.0,10001
10,2,0,0,0.0,10002
10,3,0,0,0.0,10003
10,4,0,0,0.0,10004
10,5,0,0,0.0,10005
10,6,0,0,0.0,10006
10,7,0,0,0.0,10007
10,8,0,0,0.0,10008
10,9,0,0,0.0,10009
10,10,0,0,0.0,10010
10,11,0,0,0.0,10011
10,12,0,0,0.0,10012
10,13,0,0,0.0,10013
10,14,0,0,0.0,10014
10,15,0,0,0.0,10015
10,16,0,0,0.0,10016
10,17,0,0,0.0,10017
10,18,0,0,0.0,10018
10,19,1,1,100.0,10019
10,20,0,0,0.0,10020
10,21,0,0,0.0,10021
10,22,0,0,0.0,10022
10,23,0,0,0.0,10023
10,24,0,0,0.0,10024
10,25,0,0,0.0,10025
10,26,0,0,0.0,10026
10,27,0,0,0.0,10027
10,28,0,0,0.0,10028
10,29,0,0,0.0,10029
10,30,0,0,0.0,10030
10,31,0,0,0.0,10031
10,32,0,0,0.0,10032
10,33,0,0,0.0,10033
10,34,0,0,0.0,10034
10,35,0,0,0.0,10035
10,36,0,0,0.0,10036
10,37,0,0,0.0,10037
10,38,0,0,0.0,10038
10,39,0,0,0.0,10039
10,40,0,0,0.0,10040
10,41,0,0,0.0,10041
10,42,0,0,0.0,10042
10,43,0,0,0.0,10043
10,44,0,0,0.0,10044
10,45,0,0,0.0,10045
10,46,0,0,0.0,10046
