ward,precinct,total,NANCY F. MYNARD,NANCY F. MYNARD Percent,DOROTHY A. BROWN,DOROTHY A. BROWN Percent,precinct_id
1,1,291,62,21.31,229,78.69,01001
1,2,576,115,19.97,461,80.03,01002
1,3,332,54,16.27,278,83.73,01003
1,4,321,55,17.13,266,82.87,01004
1,5,402,74,18.41,328,81.59,01005
1,6,253,60,23.72,193,76.28,01006
1,7,423,118,27.9,305,72.1,01007
1,8,224,42,18.75,182,81.25,01008
1,9,395,85,21.52,310,78.48,01009
1,10,450,100,22.22,350,77.78,01010
1,11,290,50,17.24,240,82.76,01011
1,12,411,74,18.0,337,82.0,01012
1,13,189,17,8.99,172,91.01,01013
1,14,271,27,9.96,244,90.04,01014
1,15,301,22,7.31,279,92.69,01015
1,16,277,19,6.86,258,93.14,01016
1,17,395,61,15.44,334,84.56,01017
1,18,274,14,5.11,260,94.89,01018
1,19,273,21,7.69,252,92.31,01019
1,20,230,19,8.26,211,91.74,01020
1,21,511,134,26.22,377,73.78,01021
1,22,256,18,7.03,238,92.97,01022
1,23,471,80,16.99,391,83.01,01023
1,24,291,40,13.75,251,86.25,01024
1,25,513,86,16.76,427,83.24,01025
1,26,596,110,18.46,486,81.54,01026
1,27,323,33,10.22,290,89.78,01027
1,28,70,3,4.29,67,95.71,01028
1,29,451,77,17.07,374,82.93,01029
1,30,276,33,11.96,243,88.04,01030
1,31,122,2,1.64,120,98.36,01031
1,32,273,19,6.96,254,93.04,01032
1,33,352,52,14.77,300,85.23,01033
1,34,75,20,26.67,55,73.33,01034
1,35,80,23,28.75,57,71.25,01035
1,36,286,72,25.17,214,74.83,01036
2,1,539,166,30.8,373,69.2,02001
2,2,465,8,1.72,457,98.28,02002
2,3,316,12,3.8,304,96.2,02003
2,4,145,0,0.0,145,100.0,02004
2,5,255,2,0.78,253,99.22,02005
2,6,221,4,1.81,217,98.19,02006
2,7,425,6,1.41,419,98.59,02007
2,8,390,67,17.18,323,82.82,02008
2,9,210,6,2.86,204,97.14,02009
2,10,228,2,0.88,226,99.12,02010
2,11,598,106,17.73,492,82.27,02011
2,12,344,8,2.33,336,97.67,02012
2,13,458,3,0.66,455,99.34,02013
2,14,353,9,2.55,344,97.45,02014
2,15,149,1,0.67,148,99.33,02015
2,16,226,7,3.1,219,96.9,02016
2,17,332,6,1.81,326,98.19,02017
2,18,455,4,0.88,451,99.12,02018
2,19,184,4,2.17,180,97.83,02019
2,20,339,8,2.36,331,97.64,02020
2,21,311,4,1.29,307,98.71,02021
2,22,660,163,24.7,497,75.3,02022
2,23,283,5,1.77,278,98.23,02023
2,24,285,30,10.53,255,89.47,02024
2,25,180,22,12.22,158,87.78,02025
2,26,271,7,2.58,264,97.42,02026
2,27,57,1,1.75,56,98.25,02027
2,28,383,1,0.26,382,99.74,02028
2,29,269,3,1.12,266,98.88,02029
2,30,271,0,0.0,271,100.0,02030
2,31,343,10,2.92,333,97.08,02031
2,32,253,4,1.58,249,98.42,02032
2,33,450,11,2.44,439,97.56,02033
2,34,345,6,1.74,339,98.26,02034
2,35,148,39,26.35,109,73.65,02035
2,36,254,0,0.0,254,100.0,02036
2,37,476,110,23.11,366,76.89,02037
2,38,345,11,3.19,334,96.81,02038
2,39,470,26,5.53,444,94.47,02039
2,40,450,45,10.0,405,90.0,02040
2,41,130,0,0.0,130,100.0,02041
2,42,148,12,8.11,136,91.89,02042
2,43,480,131,27.29,349,72.71,02043
2,44,325,1,0.31,324,99.69,02044
2,45,140,2,1.43,138,98.57,02045
2,46,515,14,2.72,501,97.28,02046
2,47,205,11,5.37,194,94.63,02047
2,48,413,17,4.12,396,95.88,02048
2,49,239,61,25.52,178,74.48,02049
2,50,212,21,9.91,191,90.09,02050
2,51,300,6,2.0,294,98.0,02051
2,52,579,86,14.85,493,85.15,02052
2,53,220,2,0.91,218,99.09,02053
2,54,513,128,24.95,385,75.05,02054
3,1,472,5,1.06,467,98.94,03001
3,2,402,4,1.0,398,99.0,03002
3,3,205,2,0.98,203,99.02,03003
3,4,202,0,0.0,202,100.0,03004
3,5,274,2,0.73,272,99.27,03005
3,6,159,2,1.26,157,98.74,03006
3,7,68,0,0.0,68,100.0,03007
3,8,239,1,0.42,238,99.58,03008
3,9,286,2,0.7,284,99.3,03009
3,10,378,7,1.85,371,98.15,03010
3,11,216,0,0.0,216,100.0,03011
3,12,302,5,1.66,297,98.34,03012
3,13,104,0,0.0,104,100.0,03013
3,14,164,1,0.61,163,99.39,03014
3,15,233,2,0.86,231,99.14,03015
3,16,427,3,0.7,424,99.3,03016
3,17,276,4,1.45,272,98.55,03017
3,18,218,1,0.46,217,99.54,03018
3,19,191,2,1.05,189,98.95,03019
3,20,123,2,1.63,121,98.37,03020
3,21,183,2,1.09,181,98.91,03021
3,22,210,3,1.43,207,98.57,03022
3,23,202,1,0.5,201,99.5,03023
3,24,326,2,0.61,324,99.39,03024
3,25,104,1,0.96,103,99.04,03025
3,26,198,3,1.52,195,98.48,03026
3,27,104,2,1.92,102,98.08,03027
3,28,285,6,2.11,279,97.89,03028
3,29,98,0,0.0,98,100.0,03029
3,30,307,2,0.65,305,99.35,03030
3,31,303,6,1.98,297,98.02,03031
3,32,388,3,0.77,385,99.23,03032
3,33,298,3,1.01,295,98.99,03033
3,34,110,1,0.91,109,99.09,03034
3,35,274,1,0.36,273,99.64,03035
3,36,153,4,2.61,149,97.39,03036
3,37,285,3,1.05,282,98.95,03037
3,38,296,4,1.35,292,98.65,03038
3,39,344,2,0.58,342,99.42,03039
3,40,272,6,2.21,266,97.79,03040
3,41,209,2,0.96,207,99.04,03041
3,42,184,1,0.54,183,99.46,03042
3,43,20,1,5.0,19,95.0,03043
3,44,232,2,0.86,230,99.14,03044
3,45,156,1,0.64,155,99.36,03045
3,46,42,0,0.0,42,100.0,03046
3,47,209,1,0.48,208,99.52,03047
3,48,238,1,0.42,237,99.58,03048
3,49,256,4,1.56,252,98.44,03049
3,50,278,3,1.08,275,98.92,03050
3,51,211,30,14.22,181,85.78,03051
3,52,358,4,1.12,354,98.88,03052
4,1,355,25,7.04,330,92.96,04001
4,2,142,1,0.7,141,99.3,04002
4,3,511,10,1.96,501,98.04,04003
4,4,425,8,1.88,417,98.12,04004
4,5,360,2,0.56,358,99.44,04005
4,6,30,0,0.0,30,100.0,04006
4,7,269,5,1.86,264,98.14,04007
4,8,479,4,0.84,475,99.16,04008
4,9,566,9,1.59,557,98.41,04009
4,10,675,10,1.48,665,98.52,04010
4,11,406,4,0.99,402,99.01,04011
4,12,338,6,1.78,332,98.22,04012
4,13,574,33,5.75,541,94.25,04013
4,14,354,5,1.41,349,98.59,04014
4,15,144,4,2.78,140,97.22,04015
4,16,449,6,1.34,443,98.66,04016
4,17,542,82,15.13,460,84.87,04017
4,18,364,2,0.55,362,99.45,04018
4,19,145,1,0.69,144,99.31,04019
4,20,213,2,0.94,211,99.06,04020
4,21,393,15,3.82,378,96.18,04021
4,22,477,15,3.14,462,96.86,04022
4,23,321,26,8.1,295,91.9,04023
4,24,436,20,4.59,416,95.41,04024
4,25,380,8,2.11,372,97.89,04025
4,26,335,1,0.3,334,99.7,04026
4,27,399,6,1.5,393,98.5,04027
4,28,401,38,9.48,363,90.52,04028
4,29,326,29,8.9,297,91.1,04029
4,30,169,5,2.96,164,97.04,04030
4,31,148,0,0.0,148,100.0,04031
4,32,474,49,10.34,425,89.66,04032
4,33,154,4,2.6,150,97.4,04033
4,34,318,28,8.81,290,91.19,04034
4,35,296,7,2.36,289,97.64,04035
4,36,387,3,0.78,384,99.22,04036
4,37,255,3,1.18,252,98.82,04037
4,38,545,29,5.32,516,94.68,04038
4,39,182,0,0.0,182,100.0,04039
4,40,404,15,3.71,389,96.29,04040
4,41,352,32,9.09,320,90.91,04041
4,42,351,4,1.14,347,98.86,04042
4,43,297,19,6.4,278,93.6,04043
4,44,303,22,7.26,281,92.74,04044
4,45,526,20,3.8,506,96.2,04045
4,46,371,5,1.35,366,98.65,04046
4,47,651,39,5.99,612,94.01,04047
4,48,543,32,5.89,511,94.11,04048
4,49,129,3,2.33,126,97.67,04049
4,50,329,4,1.22,325,98.78,04050
4,51,426,36,8.45,390,91.55,04051
4,52,145,1,0.69,144,99.31,04052
4,53,166,2,1.2,164,98.8,04053
4,54,284,21,7.39,263,92.61,04054
4,55,297,26,8.75,271,91.25,04055
5,1,360,7,1.94,353,98.06,05001
5,2,449,5,1.11,444,98.89,05002
5,3,429,2,0.47,427,99.53,05003
5,4,441,4,0.91,437,99.09,05004
5,5,335,4,1.19,331,98.81,05005
5,6,326,4,1.23,322,98.77,05006
5,7,348,2,0.57,346,99.43,05007
5,8,457,52,11.38,405,88.62,05008
5,9,373,4,1.07,369,98.93,05009
5,10,264,0,0.0,264,100.0,05010
5,11,127,9,7.09,118,92.91,05011
5,12,404,5,1.24,399,98.76,05012
5,13,377,4,1.06,373,98.94,05013
5,14,343,16,4.66,327,95.34,05014
5,15,289,4,1.38,285,98.62,05015
5,16,346,6,1.73,340,98.27,05016
5,17,255,3,1.18,252,98.82,05017
5,18,282,2,0.71,280,99.29,05018
5,19,344,4,1.16,340,98.84,05019
5,20,289,3,1.04,286,98.96,05020
5,21,412,4,0.97,408,99.03,05021
5,22,380,3,0.79,377,99.21,05022
5,23,301,6,1.99,295,98.01,05023
5,24,267,18,6.74,249,93.26,05024
5,25,352,4,1.14,348,98.86,05025
5,26,249,1,0.4,248,99.6,05026
5,27,237,36,15.19,201,84.81,05027
5,28,430,6,1.4,424,98.6,05028
5,29,234,4,1.71,230,98.29,05029
5,30,346,53,15.32,293,84.68,05030
5,31,373,6,1.61,367,98.39,05031
5,32,562,12,2.14,550,97.86,05032
5,33,356,5,1.4,351,98.6,05033
5,34,278,4,1.44,274,98.56,05034
5,35,344,40,11.63,304,88.37,05035
5,36,429,2,0.47,427,99.53,05036
5,37,304,24,7.89,280,92.11,05037
5,38,361,39,10.8,322,89.2,05038
5,39,389,56,14.4,333,85.6,05039
5,40,354,4,1.13,350,98.87,05040
5,41,390,57,14.62,333,85.38,05041
5,42,349,8,2.29,341,97.71,05042
5,43,380,8,2.11,372,97.89,05043
5,44,326,5,1.53,321,98.47,05044
5,45,220,2,0.91,218,99.09,05045
5,46,432,53,12.27,379,87.73,05046
5,47,318,2,0.63,316,99.37,05047
5,48,297,12,4.04,285,95.96,05048
5,49,416,56,13.46,360,86.54,05049
5,50,257,3,1.17,254,98.83,05050
5,51,295,2,0.68,293,99.32,05051
5,52,230,2,0.87,228,99.13,05052
5,53,361,4,1.11,357,98.89,05053
5,54,212,5,2.36,207,97.64,05054
5,55,349,5,1.43,344,98.57,05055
5,56,269,2,0.74,267,99.26,05056
5,57,435,25,5.75,410,94.25,05057
5,58,278,1,0.36,277,99.64,05058
5,59,241,2,0.83,239,99.17,05059
6,1,426,3,0.7,423,99.3,06001
6,2,459,4,0.87,455,99.13,06002
6,3,395,7,1.77,388,98.23,06003
6,4,289,6,2.08,283,97.92,06004
6,5,297,4,1.35,293,98.65,06005
6,6,377,3,0.8,374,99.2,06006
6,7,336,5,1.49,331,98.51,06007
6,8,353,4,1.13,349,98.87,06008
6,9,485,4,0.82,481,99.18,06009
6,10,425,8,1.88,417,98.12,06010
6,11,352,2,0.57,350,99.43,06011
6,12,380,5,1.32,375,98.68,06012
6,13,386,7,1.81,379,98.19,06013
6,14,454,3,0.66,451,99.34,06014
6,15,364,6,1.65,358,98.35,06015
6,16,399,8,2.01,391,97.99,06016
6,17,421,2,0.48,419,99.52,06017
6,18,154,1,0.65,153,99.35,06018
6,19,369,5,1.36,364,98.64,06019
6,20,92,0,0.0,92,100.0,06020
