ward,precinct,total,VARTAN SEFERIAN,VARTAN SEFERIAN Percent,MARTIN A. SANDOVAL,MARTIN A. SANDOVAL Percent,precinct_id
1,1,241,37,15.35,204,84.65,01001
1,2,511,90,17.61,421,82.39,01002
1,3,293,42,14.33,251,85.67,01003
1,4,274,41,14.96,233,85.04,01004
1,5,352,67,19.03,285,80.97,01005
1,6,220,54,24.55,166,75.45,01006
1,7,366,83,22.68,283,77.32,01007
1,8,164,27,16.46,137,83.54,01008
1,9,338,54,15.98,284,84.02,01009
1,10,407,77,18.92,330,81.08,01010
1,11,254,43,16.93,211,83.07,01011
1,12,352,44,12.5,308,87.5,01012
1,13,147,8,5.44,139,94.56,01013
1,14,217,10,4.61,207,95.39,01014
1,15,249,12,4.82,237,95.18,01015
1,16,227,9,3.96,218,96.04,01016
1,17,351,58,16.52,293,83.48,01017
1,18,243,8,3.29,235,96.71,01018
1,19,241,18,7.47,223,92.53,01019
1,20,186,5,2.69,181,97.31,01020
1,21,461,104,22.56,357,77.44,01021
1,22,217,15,6.91,202,93.09,01022
1,23,413,60,14.53,353,85.47,01023
1,24,246,21,8.54,225,91.46,01024
1,25,436,72,16.51,364,83.49,01025
1,26,514,81,15.76,433,84.24,01026
1,27,270,15,5.56,255,94.44,01027
1,28,63,3,4.76,60,95.24,01028
1,29,412,65,15.78,347,84.22,01029
1,30,231,30,12.99,201,87.01,01030
1,31,104,1,0.96,103,99.04,01031
1,32,183,11,6.01,172,93.99,01032
1,33,294,33,11.22,261,88.78,01033
1,34,72,12,16.67,60,83.33,01034
1,35,60,14,23.33,46,76.67,01035
1,36,253,50,19.76,203,80.24,01036
2,1,496,125,25.2,371,74.8,02001
2,2,393,7,1.78,386,98.22,02002
2,3,269,13,4.83,256,95.17,02003
2,4,100,2,2.0,98,98.0,02004
2,5,210,3,1.43,207,98.57,02005
2,6,185,2,1.08,183,98.92,02006
2,7,347,8,2.31,339,97.69,02007
2,8,340,56,16.47,284,83.53,02008
2,9,153,2,1.31,151,98.69,02009
2,10,174,1,0.57,173,99.43,02010
2,11,472,80,16.95,392,83.05,02011
2,12,252,12,4.76,240,95.24,02012
2,13,385,8,2.08,377,97.92,02013
2,14,317,11,3.47,306,96.53,02014
2,15,133,3,2.26,130,97.74,02015
2,16,192,6,3.13,186,96.88,02016
2,17,251,5,1.99,246,98.01,02017
2,18,348,7,2.01,341,97.99,02018
2,19,148,1,0.68,147,99.32,02019
2,20,254,11,4.33,243,95.67,02020
2,21,260,5,1.92,255,98.08,02021
2,22,597,139,23.28,458,76.72,02022
2,23,202,2,0.99,200,99.01,02023
2,24,226,30,13.27,196,86.73,02024
2,25,144,19,13.19,125,86.81,02025
2,26,193,8,4.15,185,95.85,02026
2,27,46,1,2.17,45,97.83,02027
2,28,315,5,1.59,310,98.41,02028
2,29,214,6,2.8,208,97.2,02029
2,30,194,2,1.03,192,98.97,02030
2,31,240,8,3.33,232,96.67,02031
2,32,171,3,1.75,168,98.25,02032
2,33,383,17,4.44,366,95.56,02033
2,34,225,10,4.44,215,95.56,02034
2,35,135,28,20.74,107,79.26,02035
2,36,158,3,1.9,155,98.1,02036
2,37,426,97,22.77,329,77.23,02037
2,38,279,13,4.66,266,95.34,02038
2,39,359,19,5.29,340,94.71,02039
2,40,371,39,10.51,332,89.49,02040
2,41,97,1,1.03,96,98.97,02041
2,42,123,13,10.57,110,89.43,02042
2,43,407,94,23.1,313,76.9,02043
2,44,234,6,2.56,228,97.44,02044
2,45,99,2,2.02,97,97.98,02045
2,46,421,15,3.56,406,96.44,02046
2,47,171,10,5.85,161,94.15,02047
2,48,343,19,5.54,324,94.46,02048
2,49,206,43,20.87,163,79.13,02049
2,50,176,21,11.93,155,88.07,02050
2,51,229,5,2.18,224,97.82,02051
2,52,518,80,15.44,438,84.56,02052
2,53,156,2,1.28,154,98.72,02053
2,54,444,105,23.65,339,76.35,02054
3,1,367,3,0.82,364,99.18,03001
3,2,271,6,2.21,265,97.79,03002
3,3,172,7,4.07,165,95.93,03003
3,4,173,2,1.16,171,98.84,03004
3,5,232,4,1.72,228,98.28,03005
3,6,129,2,1.55,127,98.45,03006
3,7,54,0,0.0,54,100.0,03007
3,8,211,3,1.42,208,98.58,03008
3,9,225,6,2.67,219,97.33,03009
3,10,325,4,1.23,321,98.77,03010
3,11,165,3,1.82,162,98.18,03011
3,12,223,8,3.59,215,96.41,03012
3,13,83,1,1.2,82,98.8,03013
3,14,109,1,0.92,108,99.08,03014
3,15,194,7,3.61,187,96.39,03015
3,16,348,7,2.01,341,97.99,03016
3,17,217,3,1.38,214,98.62,03017
3,18,169,2,1.18,167,98.82,03018
3,19,149,1,0.67,148,99.33,03019
3,20,102,1,0.98,101,99.02,03020
3,21,137,3,2.19,134,97.81,03021
3,22,154,4,2.6,150,97.4,03022
3,23,161,2,1.24,159,98.76,03023
3,24,252,8,3.17,244,96.83,03024
3,25,85,0,0.0,85,100.0,03025
3,26,154,1,0.65,153,99.35,03026
3,27,86,2,2.33,84,97.67,03027
3,28,208,9,4.33,199,95.67,03028
3,29,82,1,1.22,81,98.78,03029
3,30,221,2,0.9,219,99.1,03030
3,31,218,3,1.38,215,98.62,03031
3,32,298,5,1.68,293,98.32,03032
3,33,231,3,1.3,228,98.7,03033
3,34,74,1,1.35,73,98.65,03034
3,35,205,3,1.46,202,98.54,03035
3,36,121,3,2.48,118,97.52,03036
3,37,220,4,1.82,216,98.18,03037
3,38,212,8,3.77,204,96.23,03038
3,39,175,3,1.71,172,98.29,03039
3,40,219,8,3.65,211,96.35,03040
3,41,178,4,2.25,174,97.75,03041
3,42,134,2,1.49,132,98.51,03042
3,43,13,0,0.0,13,100.0,03043
3,44,149,6,4.03,143,95.97,03044
3,45,113,2,1.77,111,98.23,03045
3,46,29,1,3.45,28,96.55,03046
3,47,155,1,0.65,154,99.35,03047
3,48,134,4,2.99,130,97.01,03048
3,49,176,4,2.27,172,97.73,03049
3,50,185,2,1.08,183,98.92,03050
3,51,172,18,10.47,154,89.53,03051
3,52,257,7,2.72,250,97.28,03052
4,1,293,24,8.19,269,91.81,04001
4,2,108,1,0.93,107,99.07,04002
