ward,precinct,total,YES,YES Percent,NO,NO Percent,precinct_id
1,1,296,226,76.35,70,23.65,01001
1,2,373,311,83.38,62,16.62,01002
1,3,298,241,80.87,57,19.13,01003
1,4,267,224,83.9,43,16.1,01004
1,5,302,246,81.46,56,18.54,01005
1,6,219,187,85.39,32,14.61,01006
1,7,402,330,82.09,72,17.91,01007
1,8,238,188,78.99,50,21.01,01008
1,9,208,154,74.04,54,25.96,01009
1,10,272,222,81.62,50,18.38,01010
1,11,303,232,76.57,71,23.43,01011
1,12,291,248,85.22,43,14.78,01012
1,13,259,204,78.76,55,21.24,01013
1,14,358,292,81.56,66,18.44,01014
1,15,158,110,69.62,48,30.38,01015
1,16,99,70,70.71,29,29.29,01016
1,17,284,231,81.34,53,18.66,01017
1,18,183,139,75.96,44,24.04,01018
1,19,293,234,79.86,59,20.14,01019
1,20,149,108,72.48,41,27.52,01020
1,21,400,331,82.75,69,17.25,01021
1,22,190,135,71.05,55,28.95,01022
1,23,285,224,78.6,61,21.4,01023
1,24,323,247,76.47,76,23.53,01024
1,25,247,194,78.54,53,21.46,01025
1,26,301,254,84.39,47,15.61,01026
1,27,249,192,77.11,57,22.89,01027
1,28,234,186,79.49,48,20.51,01028
1,29,214,172,80.37,42,19.63,01029
1,30,276,213,77.17,63,22.83,01030
1,31,310,259,83.55,51,16.45,01031
1,32,156,116,74.36,40,25.64,01032
1,33,276,222,80.43,54,19.57,01033
1,34,177,134,75.71,43,24.29,01034
1,35,202,173,85.64,29,14.36,01035
1,36,367,301,82.02,66,17.98,01036
1,37,329,264,80.24,65,19.76,01037
1,38,124,101,81.45,23,18.55,01038
1,39,308,223,72.4,85,27.6,01039
1,40,109,84,77.06,25,22.94,01040
2,1,427,352,82.44,75,17.56,02001
2,2,8,7,87.5,1,12.5,02002
2,3,287,227,79.09,60,20.91,02003
2,4,137,102,74.45,35,25.55,02004
2,5,151,108,71.52,43,28.48,02005
2,6,369,314,85.09,55,14.91,02006
2,7,269,210,78.07,59,21.93,02007
2,8,331,275,83.08,56,16.92,02008
2,9,169,131,77.51,38,22.49,02009
2,10,84,59,70.24,25,29.76,02010
2,11,106,88,83.02,18,16.98,02011
2,12,347,292,84.15,55,15.85,02012
2,13,172,133,77.33,39,22.67,02013
2,14,336,280,83.33,56,16.67,02014
2,15,47,36,76.6,11,23.4,02015
2,16,335,260,77.61,75,22.39,02016
2,17,225,168,74.67,57,25.33,02017
2,18,787,650,82.59,137,17.41,02018
2,19,91,64,70.33,27,29.67,02019
2,20,195,155,79.49,40,20.51,02020
2,21,199,152,76.38,47,23.62,02021
2,22,389,315,80.98,74,19.02,02022
2,23,155,116,74.84,39,25.16,02023
2,24,121,102,84.3,19,15.7,02024
2,25,172,139,80.81,33,19.19,02025
2,26,408,319,78.19,89,21.81,02026
2,27,137,106,77.37,31,22.63,02027
2,28,188,157,83.51,31,16.49,02028
2,29,98,82,83.67,16,16.33,02029
2,30,134,101,75.37,33,24.63,02030
2,31,229,184,80.35,45,19.65,02031
2,32,110,79,71.82,31,28.18,02032
2,33,175,124,70.86,51,29.14,02033
2,34,140,100,71.43,40,28.57,02034
2,35,155,113,72.9,42,27.1,02035
2,36,79,54,68.35,25,31.65,02036
2,37,330,270,81.82,60,18.18,02037
2,38,235,178,75.74,57,24.26,02038
2,39,231,170,73.59,61,26.41,02039
2,40,285,240,84.21,45,15.79,02040
2,41,150,110,73.33,40,26.67,02041
2,42,98,77,78.57,21,21.43,02042
2,43,315,259,82.22,56,17.78,02043
2,44,110,73,66.36,37,33.64,02044
2,45,217,158,72.81,59,27.19,02045
2,46,283,231,81.63,52,18.37,02046
2,47,180,134,74.44,46,25.56,02047
2,48,166,130,78.31,36,21.69,02048
2,49,395,325,82.28,70,17.72,02049
2,50,179,144,80.45,35,19.55,02050
2,51,189,145,76.72,44,23.28,02051
2,52,261,187,71.65,74,28.35,02052
2,53,89,66,74.16,23,25.84,02053
2,54,254,201,79.13,53,20.87,02054
2,55,74,65,87.84,9,12.16,02055
2,56,185,142,76.76,43,23.24,02056
2,57,62,52,83.87,10,16.13,02057
2,58,163,129,79.14,34,20.86,02058
2,59,243,208,85.6,35,14.4,02059
3,1,142,94,66.2,48,33.8,03001
3,2,214,166,77.57,48,22.43,03002
