ward,precinct,total,Kathleen Marie Burke,Kathleen Marie Burke Percent,precinct_id
1,1,368,368,100.0,01001
1,2,491,491,100.0,01002
1,3,398,398,100.0,01003
1,4,346,346,100.0,01004
1,5,422,422,100.0,01005
1,6,270,270,100.0,01006
1,7,467,467,100.0,01007
1,8,322,322,100.0,01008
1,9,251,251,100.0,01009
1,10,336,336,100.0,01010
1,11,405,405,100.0,01011
1,12,401,401,100.0,01012
1,13,333,333,100.0,01013
1,14,486,486,100.0,01014
1,15,220,220,100.0,01015
1,16,139,139,100.0,01016
1,17,416,416,100.0,01017
1,18,240,240,100.0,01018
1,19,337,337,100.0,01019
1,20,224,224,100.0,01020
1,21,539,539,100.0,01021
1,22,257,257,100.0,01022
1,23,391,391,100.0,01023
1,24,405,405,100.0,01024
1,25,333,333,100.0,01025
1,26,387,387,100.0,01026
1,27,310,310,100.0,01027
1,28,318,318,100.0,01028
1,29,256,256,100.0,01029
1,30,398,398,100.0,01030
1,31,391,391,100.0,01031
1,32,209,209,100.0,01032
1,33,379,379,100.0,01033
1,34,227,227,100.0,01034
1,35,252,252,100.0,01035
1,36,439,439,100.0,01036
1,37,419,419,100.0,01037
1,38,163,163,100.0,01038
1,39,362,362,100.0,01039
1,40,139,139,100.0,01040
2,1,504,504,100.0,02001
2,2,11,11,100.0,02002
2,3,355,355,100.0,02003
2,4,208,208,100.0,02004
2,5,160,160,100.0,02005
2,6,439,439,100.0,02006
2,7,322,322,100.0,02007
2,8,388,388,100.0,02008
2,9,185,185,100.0,02009
2,10,86,86,100.0,02010
2,11,136,136,100.0,02011
2,12,431,431,100.0,02012
2,13,224,224,100.0,02013
2,14,364,364,100.0,02014
2,15,56,56,100.0,02015
2,16,406,406,100.0,02016
2,17,258,258,100.0,02017
2,18,896,896,100.0,02018
2,19,114,114,100.0,02019
2,20,249,249,100.0,02020
2,21,250,250,100.0,02021
2,22,464,464,100.0,02022
2,23,188,188,100.0,02023
2,24,139,139,100.0,02024
2,25,196,196,100.0,02025
2,26,498,498,100.0,02026
2,27,181,181,100.0,02027
2,28,232,232,100.0,02028
2,29,132,132,100.0,02029
2,30,248,248,100.0,02030
2,31,254,254,100.0,02031
2,32,156,156,100.0,02032
2,33,215,215,100.0,02033
2,34,177,177,100.0,02034
2,35,172,172,100.0,02035
2,36,106,106,100.0,02036
2,37,398,398,100.0,02037
2,38,296,296,100.0,02038
2,39,285,285,100.0,02039
2,40,356,356,100.0,02040
2,41,186,186,100.0,02041
2,42,151,151,100.0,02042
2,43,367,367,100.0,02043
2,44,172,172,100.0,02044
2,45,244,244,100.0,02045
2,46,329,329,100.0,02046
2,47,203,203,100.0,02047
2,48,202,202,100.0,02048
2,49,501,501,100.0,02049
2,50,210,210,100.0,02050
2,51,231,231,100.0,02051
2,52,278,278,100.0,02052
2,53,125,125,100.0,02053
2,54,357,357,100.0,02054
2,55,91,91,100.0,02055
2,56,204,204,100.0,02056
2,57,86,86,100.0,02057
2,58,197,197,100.0,02058
2,59,293,293,100.0,02059
3,1,164,164,100.0,03001
3,2,253,253,100.0,03002
